7760101,"Công tác xã hội","C00; D01; A00; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810101,"Du lịch","C00; D01; A00; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; D07",18,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; D01; B00",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580301,"Kinh tế xây dựng","A00; B00; D01; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620115,"Kinh tế nông nghiệp","A00; A01; D01; B00",0,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - Viễn thông","A00; B00; D01; A01",18,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và tự động hóa","A00; B00; D01; A01",18,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; B00; D01; A01",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01; D01; D07",18,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; B00; D01; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580202,"Kỹ thuật xây dựng công trình thủy","A00; B00; D01; A01",22,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính","A00; A01; D01; D07",18,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7460202_ĐHV,"Khoa học dữ liệu và thống kê","A00; A01; B00; D01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"C00; D01; A00; A01",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","C00; D01; A00; A01",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D14; D15; D66",22,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620109,"Nông học","A00; B00; D01; B08",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620301,"Nuôi trồng thủy sản","A00; B00; D01; B08",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; B00; D01; B08",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140114,"Quản lý giáo dục","C00; D01; A00; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310205,"Quản lý nhà nước","C00; D01; A00; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; B00; D01; B08",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229042,"Quản lý văn hóa","C00; D01; A00; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101C,"Quản trị kinh doanh chất lượng cao","A00; A01; D01; D07",18,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340122,"Thương mại điện tử","A00; A01; D01; D07",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","C00; D01; A00; A01",16,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A01; D01; D07",17,0,0,383,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720101,"Y khoa",B00,25.7,0,0,384,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720110,"Y học dự phòng",B00,19,0,0,384,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","B00; A00",24,0,0,384,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng",B00,19,0,0,384,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720701,"Y tế Công cộng",B00,19,0,0,384,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720601,"Kỹ thuật Xét nghiệm Y học",B00,22.5,0,0,384,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","M01; M07; M08; M05",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","D01; C00; A00; C14",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; D07; D08",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; A02",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; B00; D07",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140247,"Sư phạm Khoa học tự nhiên","A00; A02; B00; A01",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140249,"Sư phạm Lịch sử - Địa lý","C00; C19; C20; D14",19,24,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","C00; D66; D14; D15",14,18,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; A10; D01",14,18,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; A10; D01",14,18,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810101,"Du lịch","C00; D66; D14; D15",14,18,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
5140201,"Giáo dục Mầm non","M01; M07; M08; M05",17,19.5,0,389,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D11; D14; D15",19,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D01; D11; D14; D15",19,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác Xã hội","C00; C20; D01; D15",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","C00; C20; D01; D15",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810101,"Du lịch","C00; C20; D01; D15",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; A09; D01",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","A00; B00; D07; D08",19,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; A09; D01",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; A09; D01",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính – Ngân hàng","A00; A01; A09; D01",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; A02; A10",24,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; D01; D84",24,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140222,"Sư phạm Mỹ thuật","V00; V01; V02; V03",32,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140221,"Sư phạm Âm nhạc","N00; N01",32,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140206,"Giáo dục Thể chất","T00; T02; T05; T07",32,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","M00; M07; M01; M09",32,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C00; C19; D01",26,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510201,"Công nghệ Kỹ thuật Cơ khí","A00; A01; B00; D01",16,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ Kỹ thuật điện, điện tử","A00; A01; B00; D01",16,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; B00; D01",16,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7640101,"Thú y","A00; B00; D07; D08",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi","A00; B00; D07; D08",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620110,"Khoa học Cây trồng","A00; B00; D07; D08",17,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; B00; C02; D07",24,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","A02; B00; B03; D08",24,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ Văn","C00; C19; D14; C20",25.75,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","C00; C03; C19; D14",25.75,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140219,"Sư phạm Địa lý","C00; C04; C20; D15",20,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm Tiếng Anh","D01; D15; D14; D11",24.75,0,0,392,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; C00; D01",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; C00; D01",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510201,"Công nghệ kỹ thuật cơ khí","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện, điện tử","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510303,"Công nghệ kỹ thuật điều khiển và tự động hóa","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440112,"Hoá học","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hoá học","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510406,"Công nghệ kỹ thuật môi trường","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ sinh học","A00; A01; B00",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; A01",15,18,0,393,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","M01; M09",19.5,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; A01; C00; D01",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; B00; D01",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140210,"Sư phạm Tin học","A00; A01; D01",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học (Hóa - Lý)","A00; B00; D07",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","A02; B00; D08",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm Tiếng Anh","A01; D01; D10; D14",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; D01; D14",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử (Sử - Địa)","C00; D14; D15",19,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
51140201,"Giáo dục Mầm non","M01; M09",18,0,0,400,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580301,"Kinh tế xây dựng","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302,"Quản lý xây dựng","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580213,"Kỹ thuật cấp thoát nước","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580106,"Quản lý đô thị và công trình","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; C01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc","V00; V01; A01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580103,"Kiến trúc nội thất","V00; V01; A01; D01",15,18,0,402,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","M05; M06; M07; M14",19,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C00; C14; D01",20.5,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140205,"Giáo dục Chính trị","C00; C19; C20; D66",19,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140206,"Giáo dục Thể chất","T00; T02; T05; T07",18,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; A02; D07",19,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; C19; C20; D14",19,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D09; D14; D15",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D01; D09; D14; D15",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310501,"Địa lý học","A09; C00; C20; D15",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; C02; D01",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; C02; D01",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C02; D01",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620101,"Nông nghiệp","A00; B03; A09; C13",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; C03; C04; D01",15,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
51140201,"Giáo dục Mầm non (Cao đẳng)","M05; M06; M07; M14",17,0,0,404,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720101,"Y khoa","A00; B00; D90; D08",22,0,0,405,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720501,"Răng - Hàm - Mặt","A00; B00; D90; D08",22,0,0,405,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","A00; B00; D07; D08",19,0,0,405,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720601,"Kỹ thuật xét nghiệm y học","A00; B00; D07; D08",19,0,0,405,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh (Chuyên ngành Quản trị bệnh viện)","A00; C01; C02; D01",15,0,0,405,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán","A00; A01; A10; D01",19,0,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; A02; A10",19,0,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","A02; B00; B02; B04",19,0,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; C19; C20; D14",19,0,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","M01; M01; M02; M03",19,0,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C14; C00; D01",21.25,0,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ Thông tin","A00; A01; A10; D01",12.5,15,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620112,"Bảo vệ thực vật","A02; B00; B02; B04",14,15,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229030,"Văn học","C00; C19; C20; D14",0,15,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; A01; D11; D66",14,15,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học (Văn hóa-Du lịch)","A09; C00; C20; D01",14,15,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229010,"Lịch sử","A08; C00; C19; D14",15,15,0,406,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140210,"Sư phạm Tin học","A00; A01; D01; D90",19,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; D90",19,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; D78",19,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm Tiếng Anh","D01; D72; D96",19,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420203,"Sinh học ứng dụng","B00; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ Thông tin","A00; A01; D01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510201,"Công nghệ kỹ thuật Cơ khí","A00; A01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"Kỹ thuật Cơ – Điện tử","A00; A01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử – viễn thông","A00; A01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310105,"Kinh tế phát triển","A00; A01; D01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D72; D96",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340122,"Thương mại điện tử","A00; A01; D01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D90",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810101,"Du lịch","C00; D01; D72; D78",15,15,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
51140201,"Cao đẳng Giáo dục Mầm non",M00,17.34,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư Phạm Toán học","A00; A01; D01; D90",19,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C00; D01; D78",19,0,0,413,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; A16",15,18,0,414,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A00; A01; D01; A16",15,18,0,414,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - ngân hàng","A00; A01; D01; A16",15,18,0,414,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; A16",15,18,0,414,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","A00; D01; C00; C15",15,18,0,414,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510303,"Công nghệ kỹ thuật điều khiển và tự động hoá","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện, điện tử","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520601,"Kỹ thuật mỏ","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510102,"Công nghệ kỹ thuật công trình xây dựng","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520607,"Kỹ thuật tuyển khoáng","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510201,"Công nghệ kỹ thuật cơ khí","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520503,"Kỹ thuật Trắc địa-Bản đồ","A00; A01; D01; D07",15,16,0,416,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-01,"Nhóm ngành Luật",A00,28.05,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-01,"Nhóm ngành Luật","A01; D01; D07",27.55,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-02,"Ngành Kinh tế; Kinh tế Quốc tế",A00,28.5,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-02,"Ngành Kinh tế; Kinh tế Quốc tế","A01; D01; D03; D04; D06; D07",28,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-02,"Ngành Kinh tế; Kinh tế Quốc tế",D02,26.5,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH02,"Quản trị kinh doanh, Kinh doanh quốc tế, Quản trị khách sạn",A00,28.45,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH02,"Quản trị kinh doanh, Kinh doanh quốc tế, Quản trị khách sạn","A01; D01; D06; D07",27.95,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH03,"Nhóm ngành (Tài chính - Ngân Hàng; Kế toán)",A00,28.25,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH03,"Nhóm ngành (Tài chính - Ngân Hàng; Kế toán)","A01; D01; D07",27.75,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH04,"Ngôn ngữ Anh",D01,37.55,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH05,"Ngôn Ngữ Pháp",D01,36.75,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH05,"Ngôn Ngữ Pháp",D03,34.75,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH06,"Ngôn ngữ Trung",D01,39.35,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH06,"Ngôn ngữ Trung",D04,37.35,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH07,"Ngôn ngữ Nhật",D01,37.2,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH07,"Ngôn ngữ Nhật",D06,35.2,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH08,"Kế toán, Kinh doanh quốc tế","A00; A01; D01; D07",24,0,0,417,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; A01; C00; D01",26,27.5,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140219,"Sư phạm Địa lý","D10; D15; C00; C20",24.5,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140205,"Giáo dục Chính trị","C00; D01; C19; C20",25,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; D01; C19; D14",22,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm Tiếng Anh","D01; A01; D14; D15",20,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; D01; A02",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140210,"Sư phạm Tin học","A00; A01; D01; A02",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; C01; A10",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; B00; C02; D07",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","B00; A02; D08; B03",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","C00; C19; D14; C03",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục mầm non","M00; M13; M07; M05",19,21,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140206,"Giáo dục thể chất","T00; T03; T04; T05",18,19.5,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; C00; D01",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; A02; D01",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; A02; D01",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; A02; D01",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; A02; D01",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; A01; A02; B00",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620109,"Nông học","D08; B00; A02; B04",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620205,"Lâm sinh","D08; B00; A02; B04",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi","D08; B00; A02; B04",15,18,0,427,"2022-04-15 13:45:53","2022-04-15 13:45:53"
