7720115,"Y học cổ truyền","A00; A01; B00; D90",21,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; D01; C00",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; A01; D14; D10",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310205,"Quản lý nhà nước","A00; A01; D01; C00",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; C03",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; D01; C03",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; C03",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340406,"Quản trị văn phòng","A00; A01; D01; C03",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A00; A01; D01; C03",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C01; D07",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện, điện tử","A00; A01; C01; D07",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; A01; C01; D07",14,18,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","A00; B00; D07; A02",21,24,0,22,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; B00; D01",15,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","A00; A01; B00; D01",19,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật điện","A00; A01; B00; D01",15,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và tự động hóa","A00; A01; B00; D01",15,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"Kỹ thuật cơ điện tử","A00; A01; B00; D01",15,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01; B00; D01",15,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480102,"Mạng máy tính và truyền thông dữ liệu","A00; A01; B00; D01",15,0,0,23,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860228,"Chỉ huy kỹ thuật Công binh","A00; A01",24.57,0,0,24,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","M00; M05; M07; M11",19,24,700,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C00; D01; A16",25,28.5,800,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ Văn","C00; D01; D14; C15",19,24,700,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","C00; D01; C14; C15",19,24,700,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị Kinh doanh","A00; A01; D01; A16",17.5,22.5,700,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; A16",17.5,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","A00; A01; D01; D90",17.5,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; D01; A16",16.5,19,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510601,"Quản lý Công nghiệp","A00; A01; C01; A16",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
